Sample number,Initial number of cells,Number of cells surviving
20986,62,19
20987,51,10
20988,25,5
20989,46,12
20990,68,14
20991,30,6
20992,71,17
20993,46,10
20994,93,20
20995,48,8
20996,36,10
20997,36,5
20998,50,8
20999,45,10
21000,91,21
21001,35,4
21002,96,14
21003,86,15
21004,83,14
21005,53,5
21006,98,28
21007,98,19
21008,50,12
21009,45,6
21010,92,20
21011,34,4
21012,34,12
21013,53,6
21014,32,6
21015,16,6
21016,24,8
21017,33,8
21018,26,6
21019,20,2
21020,12,6
21021,86,16
21022,68,9
21023,22,4
21024,100,20
21025,73,16
21026,78,12
21027,74,19
21028,60,12
21029,46,12
21030,88,18
21031,77,13
21032,78,19
21033,85,22
21034,76,16
21035,63,13
21036,44,12
21037,97,20
21038,74,18
21039,81,14
21040,16,6
21041,78,14
21042,41,13
21043,92,22
21044,20,5
21045,72,16
21046,97,23
21047,89,30
21048,96,17
21049,47,11
21050,72,9
21051,52,11
21052,93,15
21053,23,3
21054,89,20
21055,88,20
21056,74,9
21057,12,2
21058,50,11
21059,43,7
21060,100,26
21061,45,10
21062,83,17
21063,60,12
21064,20,3
21065,59,13
21066,58,10
21067,64,17
21068,100,24
21069,82,15
21070,40,8
21071,75,15
21072,99,23
21073,92,16
21074,30,5
21075,21,7
21076,38,12
21077,74,14
21078,84,22
21079,10,3
21080,43,7
21081,57,17
21082,25,4
21083,96,25
21084,89,20
21085,30,8
21086,56,10
21087,30,6
21088,65,13
21089,79,15
21090,48,10
21091,57,7
21092,10,2
21093,25,4
21094,79,14
21095,28,4
21096,11,6
21097,61,7
21098,36,8
21099,71,15
21100,37,15
21101,54,13
21102,15,2
21103,10,1
21104,23,6
21105,33,7
21106,84,20
21107,73,14
21108,37,7
21109,93,15
21110,46,10
21111,84,21
21112,50,9
21113,16,2
21114,98,20
21115,64,16
21116,42,6
21117,52,7
21118,74,16
21119,44,8
21120,37,7
21121,24,7
21122,37,5
21123,76,17
21124,51,17
21125,25,4
21126,46,11
21127,91,16
21128,96,20
21129,85,16
21130,61,12
21131,91,25
21132,94,23
21133,54,7
21134,40,6
21135,15,6
21136,34,7
21137,13,4
21138,89,16
21139,65,7
21140,96,27
21141,50,12
21142,100,21
21143,10,1
21144,14,1
21145,38,7
21146,31,5
21147,17,2
21148,100,16
21149,74,14
21150,17,3
21151,24,5
21152,70,10
21153,70,8
21154,57,11
21155,34,12
21156,79,18
21157,88,15
21158,92,16
21159,40,6
21160,96,21
21161,52,15
21162,92,24
21163,37,6
21164,67,11
21165,87,21
21166,27,8
21167,47,8
21168,99,22
21169,84,24
21170,95,19
21171,77,10
21172,39,8
21173,72,17
21174,28,3
21175,26,6
21176,40,8
21177,13,1
21178,67,8
21179,16,4
21180,51,9
21181,34,6
21182,36,1
21183,69,14
21184,91,14
21185,42,6
21186,51,14
21187,21,5
21188,30,8
21189,96,23
21190,51,6
21191,81,14
21192,47,12
21193,77,20
21194,68,21
21195,30,6
21196,15,5
21197,73,13
21198,36,7
21199,75,9
21200,41,2
21201,19,1
21202,94,16
21203,70,14
21204,85,12
21205,16,0
21206,70,7
21207,12,1
21208,21,5
21209,48,9
21210,60,15
21211,81,14
21212,28,4
21213,51,11
21214,19,3
21215,47,13
21216,68,11
21217,93,29
21218,64,9
21219,24,1
21220,29,5
21221,61,12
21222,80,10
21223,92,20
21224,25,9
21225,53,9
21226,91,28
21227,68,12
21228,31,5
21229,35,5
21230,96,19
21231,86,8
21232,96,25
21233,59,8
21234,70,12
21235,59,11
21236,89,19
21237,38,7
21238,12,0
21239,16,4
21240,60,6
21241,56,18
21242,29,4
21243,28,6
21244,67,8
21245,91,17
21246,62,13
21247,48,11
21248,33,6
21249,97,15
21250,53,9
21251,62,10
21252,88,21
21253,71,9
21254,31,8
21255,28,4
21256,91,19
21257,40,10
21258,96,22
21259,97,25
21260,56,8
21261,25,5
21262,44,9
21263,52,14
21264,100,28
21265,43,9
21266,88,17
21267,42,7
21268,57,13
21269,78,13
21270,33,7
21271,26,5
21272,92,16
21273,57,9
21274,88,18
21275,46,9
21276,67,10
21277,93,18
21278,26,7
21279,79,17
21280,24,5
21281,43,7
21282,49,8
21283,89,16
21284,29,3
21285,73,15
21286,67,15
21287,24,7
21288,46,11
21289,53,6
21290,25,3
21291,85,19
21292,90,15
21293,49,14
21294,35,7
21295,83,19
21296,57,8
21297,53,8
21298,59,13
21299,50,7
21300,78,10
21301,51,12
21302,36,11
21303,47,8
21304,51,10
21305,44,2
21306,28,5
21307,79,8
21308,41,4
21309,81,22
21310,22,5
21311,93,19
21312,71,19
21313,85,14
21314,33,11
21315,54,9
21316,100,28
21317,31,4
21318,72,12
21319,48,9
21320,24,6
21321,87,17
21322,59,15
21323,90,19
21324,68,9
21325,12,4
21326,41,8
21327,100,21
21328,74,14
21329,79,15
21330,30,5
21331,89,18
21332,63,14
21333,43,8
21334,16,4
21335,73,16
21336,54,15
21337,24,3
21338,98,23
21339,35,6
21340,29,7
21341,74,16
21342,95,20
21343,38,9
21344,14,1
21345,54,10
21346,76,14
21347,17,2
21348,78,15
21349,56,14
21350,95,21
21351,53,6
21352,33,2
21353,72,17
21354,100,21
21355,70,11
21356,69,14
21357,92,20
21358,25,2
21359,30,8
21360,22,6
21361,12,1
21362,62,13
21363,60,12
21364,57,13
21365,17,3
21366,29,6
21367,18,3
21368,87,14
21369,30,4
21370,45,7
21371,29,5
21372,78,20
21373,63,14
21374,80,13
21375,43,9
21376,80,16
21377,70,15
21378,16,1
21379,64,15
21380,14,1
21381,18,7
21382,50,11
21383,42,8
21384,70,13
21385,67,21
21386,98,17
21387,14,2
21388,88,16
21389,21,2
21390,70,18
21391,50,12
21392,49,10
21393,16,2
21394,55,9
21395,60,9
21396,86,16
21397,51,16
21398,51,8
21399,10,1
21400,70,17
21401,38,7
21402,37,5
21403,20,1
21404,38,5
21405,91,17
21406,17,5
21407,30,5
21408,54,10
21409,16,4
21410,66,17
21411,58,13
21412,68,11
21413,61,15
21414,60,13
21415,26,3
21416,95,18
21417,48,11
21418,15,1
21419,15,5
21420,37,8
21421,97,21
21422,68,8
21423,61,12
21424,65,10
21425,74,14
21426,15,4
21427,37,5
21428,47,9
21429,36,11
21430,17,5
21431,40,5
21432,34,6
21433,10,4
21434,88,20
21435,18,5
21436,15,5
21437,87,15
21438,88,27
21439,97,20
21440,91,22
21441,88,19
21442,23,3
21443,75,23
21444,42,8
21445,58,10
21446,41,9
21447,64,11
21448,74,12
21449,15,2
21450,79,12
21451,10,1
21452,53,10
21453,84,20
21454,56,9
21455,64,17
21456,15,2
21457,25,8
21458,35,4
21459,77,12
21460,47,7
21461,33,11
21462,32,5
21463,92,19
21464,60,9
21465,18,1
21466,49,6
21467,42,9
21468,83,9
21469,58,13
21470,47,4
21471,32,7
21472,15,5
21473,30,10
21474,37,3
21475,26,3
21476,67,18
21477,88,18
21478,55,12
21479,54,7
21480,26,2
21481,56,10
21482,63,8
21483,63,17
21484,48,6
21485,78,14
21486,53,11
21487,83,17
21488,45,9
21489,17,5
21490,62,11
21491,61,16
21492,28,8
21493,43,6
21494,46,6
21495,59,7
21496,100,18
21497,26,2
21498,11,2
21499,83,17
21500,16,3
21501,92,19
21502,52,11
21503,41,3
21504,33,9
21505,61,20
21506,53,8
21507,84,18
21508,58,12
21509,37,10
21510,65,12
21511,59,10
21512,72,13
21513,78,11
21514,53,7
21515,21,7
21516,32,5
21517,81,16
21518,75,12
21519,61,12
21520,36,5
21521,80,19
21522,56,10
21523,88,20
21524,77,16
21525,36,6
21526,42,9
21527,91,17
21528,39,8
21529,83,20
21530,21,3
21531,53,8
21532,81,15
21533,30,8
21534,59,10
21535,98,21
21536,16,3
21537,72,15
21538,15,4
21539,25,4
21540,14,4
21541,43,12
21542,89,18
21543,57,10
21544,67,17
21545,29,7
21546,59,5
21547,52,8
21548,49,8
21549,61,10
21550,64,11
21551,27,3
21552,65,10
21553,22,2
21554,44,12
21555,31,8
21556,70,17
21557,77,16
21558,99,15
21559,50,8
21560,17,3
21561,50,9
21562,89,20
21563,73,11
21564,38,12
21565,16,2
21566,54,12
21567,68,12
21568,66,14
21569,41,7
21570,45,14
21571,83,15
21572,48,9
21573,32,7
21574,91,22
21575,86,13
21576,26,3
21577,40,6
21578,81,14
21579,49,9
21580,74,15
21581,37,9
21582,39,7
21583,64,9
21584,57,10
21585,91,20
21586,86,15
21587,53,13
21588,40,7
21589,80,17
21590,38,10
21591,21,5
21592,20,5
21593,24,4
21594,79,17
21595,42,9
21596,60,17
21597,19,2
21598,65,10
21599,68,12
21600,95,18
21601,30,0
21602,39,8
21603,88,21
21604,91,22
21605,87,21
21606,66,16
21607,82,12
21608,98,22
21609,14,1
21610,32,5
21611,88,19
21612,27,5
21613,86,15
21614,54,13
21615,81,18
21616,41,7
21617,34,6
21618,44,10
21619,61,12
21620,15,5
21621,14,3
21622,51,7
21623,46,4
21624,85,11
21625,90,23
21626,16,5
21627,24,6
21628,90,19
21629,98,23
21630,31,8
21631,47,9
21632,16,3
21633,69,14
21634,94,16
21635,64,8
21636,91,20
21637,56,8
21638,47,5
21639,74,18
21640,74,18
21641,68,15
21642,35,3
21643,92,16
21644,23,3
21645,78,13
21646,32,5
21647,55,10
21648,37,10
21649,64,15
21650,53,4
21651,48,11
21652,55,8
21653,73,17
21654,91,16
21655,37,9
21656,55,8
21657,46,7
21658,88,10
21659,36,6
21660,66,10
21661,47,10
21662,55,11
21663,68,14
21664,18,3
21665,55,8
21666,16,4
21667,12,1
21668,68,9
21669,59,9
21670,99,23
21671,45,9
21672,100,14
21673,81,16
21674,56,11
21675,75,21
21676,51,10
21677,22,6
21678,37,6
21679,18,4
21680,84,13
21681,77,23
21682,61,15
21683,47,7
21684,73,12
21685,45,10
21686,62,7
21687,32,6
21688,15,1
21689,94,17
21690,13,3
21691,56,16
21692,84,23
21693,12,1
21694,86,15
21695,23,4
21696,28,7
21697,42,10
21698,66,15
21699,43,9
21700,77,19
21701,78,16
21702,39,9
21703,35,6
21704,55,14
21705,71,16
21706,79,12
21707,79,17
21708,21,6
21709,80,18
21710,86,15
21711,75,15
21712,19,4
21713,23,7
21714,85,18
21715,37,5
21716,52,13
21717,88,20
21718,14,5
21719,34,9
21720,50,9
21721,68,13
21722,76,14
21723,78,19
21724,16,4
21725,54,11
21726,44,9
21727,36,4
21728,44,8
21729,93,14
21730,25,7
21731,53,14
21732,40,9
21733,83,14
21734,86,14
21735,53,9
21736,11,2
21737,59,13
21738,59,12
21739,76,15
21740,39,8
21741,56,12
21742,37,8
21743,12,2
21744,80,19
21745,57,12
21746,37,2
21747,57,13
21748,80,13
21749,62,13
21750,52,10
21751,95,18
21752,81,21
21753,25,8
21754,80,21
21755,91,15
21756,43,8
21757,59,13
21758,64,12
21759,48,15
21760,48,10
21761,65,22
21762,59,15
21763,83,15
21764,64,13
21765,48,10
21766,21,4
21767,74,14
21768,92,21
21769,53,7
21770,76,14
21771,37,7
21772,38,9
21773,44,7
21774,94,18
21775,55,11
21776,65,13
21777,68,17
21778,60,10
21779,99,24
21780,67,14
21781,12,4
21782,54,13
21783,89,22
21784,12,3
21785,20,5
21786,82,16
21787,49,9
21788,88,21
21789,78,5
21790,87,23
21791,38,8
21792,82,19
21793,28,8
21794,18,6
21795,89,14
21796,14,2
21797,25,5
21798,74,16
21799,65,10
21800,68,15
21801,75,13
21802,47,11
21803,70,16
21804,47,4
21805,26,4
21806,45,7
21807,50,7
21808,42,8
21809,64,11
21810,70,11
21811,84,16
21812,53,7
21813,37,3
21814,99,19
21815,32,7
21816,69,21
21817,19,2
21818,65,15
21819,23,5
21820,68,13
21821,98,17
21822,45,11
21823,93,23
21824,40,7
21825,45,14
21826,83,24
21827,98,18
21828,89,16
21829,34,6
21830,88,18
21831,59,9
21832,76,8
21833,46,10
21834,65,10
21835,22,3
21836,78,14
21837,49,9
21838,76,12
21839,95,17
21840,39,7
21841,64,10
21842,97,28
21843,100,22
21844,47,7
21845,58,8
21846,42,9
21847,20,5
21848,47,7
21849,49,6
21850,38,10
21851,73,12
21852,90,16
21853,11,0
21854,80,10
21855,52,13
21856,19,4
21857,59,6
21858,54,9
21859,58,11
21860,42,7
21861,75,13
21862,83,16
21863,41,10
21864,46,4
21865,28,3
21866,61,9
21867,84,20
21868,80,21
21869,50,9
21870,76,12
21871,39,7
21872,36,6
21873,72,15
21874,43,11
21875,73,11
21876,55,10
21877,11,1
21878,59,14
21879,31,6
21880,20,3
21881,18,1
21882,64,6
21883,19,3
21884,21,0
21885,10,1
21886,45,12
21887,41,8
21888,53,13
21889,55,12
21890,29,5
21891,66,13
21892,55,9
21893,57,15
21894,75,16
21895,26,5
21896,51,10
21897,91,12
21898,51,17
21899,19,2
21900,74,14
21901,65,12
21902,83,17
21903,58,6
21904,85,19
21905,66,18
21906,55,9
21907,69,14
21908,62,12
21909,68,15
21910,17,4
21911,66,15
21912,71,12
21913,86,15
21914,14,4
21915,81,24
21916,48,7
21917,22,3
21918,50,11
21919,28,5
21920,85,15
21921,59,12
21922,11,3
21923,81,17
21924,18,5
21925,90,14
21926,27,4
21927,35,10
21928,96,20
21929,67,12
21930,10,2
21931,70,16
21932,49,9
21933,52,13
21934,36,9
21935,65,19
21936,65,9
21937,91,22
21938,29,5
21939,78,16
21940,46,7
21941,32,9
21942,93,13
21943,26,6
21944,85,15
21945,85,16
21946,81,9
21947,50,12
21948,48,9
21949,83,17
21950,39,8
21951,54,13
21952,78,17
21953,34,8
21954,69,14
21955,99,27
21956,58,19
21957,53,14
21958,65,12
21959,74,13
21960,88,16
21961,36,12
21962,63,10
21963,21,4
21964,87,19
21965,29,4
21966,23,5
21967,37,4
21968,58,9
21969,96,24
21970,47,11
21971,63,13
21972,61,11
21973,48,12
21974,45,11
21975,26,6
21976,75,12
21977,97,15
21978,86,19
21979,40,6
21980,87,18
21981,30,4
21982,75,17
21983,56,6
21984,25,4
21985,60,9
21986,27,4
21987,29,5
21988,52,10
21989,28,3
21990,31,10
21991,58,13
21992,28,5
21993,26,5
21994,34,12
21995,41,8
21996,70,10
21997,40,7
21998,44,12
21999,19,4
22000,65,17
22001,100,22
22002,15,4
22003,77,20
22004,94,23
22005,92,23
22006,83,14
22007,26,9
22008,12,5
22009,23,2
22010,66,14
22011,94,25
22012,83,14
22013,91,13
22014,52,10
22015,69,12
22016,58,11
22017,17,5
22018,98,23
22019,46,6
22020,20,2
22021,70,9
22022,42,8
22023,40,9
22024,43,12
22025,40,10
22026,91,20
22027,26,4
22028,79,18
22029,94,25
22030,89,27
22031,17,3
22032,82,13
22033,80,16
22034,49,7
22035,61,12
22036,89,21
22037,29,6
22038,22,3
22039,45,8
22040,75,18
22041,92,20
22042,36,8
22043,66,15
22044,97,18
22045,98,20
22046,98,23
22047,27,4
22048,78,12
22049,58,14
22050,100,21
22051,24,6
22052,89,13
22053,13,4
22054,45,9
22055,91,16
22056,19,5
22057,38,7
22058,34,8
22059,80,10
22060,71,17
22061,21,3
22062,11,2
22063,47,10
22064,50,6
22065,84,18
22066,55,10
22067,18,2
22068,22,3
22069,52,11
22070,70,15
22071,76,16
22072,38,11
22073,69,13
22074,90,24
22075,91,19
22076,21,7
22077,39,7
22078,35,8
22079,77,15
22080,24,7
22081,81,15
22082,73,18
22083,61,20
22084,52,14
22085,33,5
22086,14,2
22087,55,13
22088,23,3
22089,28,3
22090,69,9
22091,35,13
22092,34,3
22093,25,5
22094,32,6
22095,94,23
22096,17,3
22097,57,12
22098,63,13
22099,25,4
22100,99,16
22101,92,16
22102,52,9
22103,97,16
22104,69,17
22105,13,3
22106,79,15
22107,83,15
22108,80,14
22109,16,2
22110,19,7
22111,15,2
22112,76,16
22113,24,4
22114,41,11
22115,69,16
22116,18,3
22117,67,9
22118,32,5
22119,55,11
22120,18,4
22121,57,14
22122,26,2
22123,72,16
22124,57,13
22125,14,2
22126,33,8
22127,97,18
22128,33,5
22129,97,21
22130,90,17
22131,100,22
22132,74,9
22133,82,16
22134,72,10
22135,32,5
22136,96,21
22137,15,2
22138,52,8
22139,37,11
22140,66,17
22141,40,8
22142,76,17
22143,40,6
22144,65,12
22145,48,17
22146,18,2
22147,78,18
22148,70,13
22149,13,2
22150,20,4
22151,50,9
22152,94,15
22153,54,15
22154,64,20
22155,44,4
22156,67,22
22157,54,15
22158,87,16
22159,10,0
22160,14,2
22161,12,3
22162,61,11
22163,89,17
22164,44,6
22165,66,13
22166,69,10
22167,34,3
22168,17,4
22169,27,6
22170,29,9
22171,11,3
22172,76,15
22173,13,3
22174,78,23
22175,71,8
22176,21,3
22177,86,19
22178,84,19
22179,35,5
22180,58,11
22181,37,10
22182,69,11
22183,85,14
22184,34,8
22185,46,6
22186,33,6
22187,36,11
22188,35,3
22189,50,5
22190,20,5
22191,82,17
22192,77,8
22193,13,3
22194,26,5
22195,79,16
22196,42,11
22197,62,12
22198,11,2
22199,83,15
22200,33,7
22201,71,15
22202,35,7
22203,47,8
22204,17,1
22205,68,15
22206,90,24
22207,87,17
22208,27,5
22209,81,15
22210,79,18
22211,81,16
22212,40,7
22213,11,2
22214,16,0
22215,92,11
22216,78,12
22217,15,4
22218,23,4
22219,60,15
22220,11,2
22221,51,9
22222,54,8
22223,86,20
22224,66,18
22225,47,13
22226,44,6
22227,62,13
22228,70,12
22229,72,16
22230,100,22
22231,38,3
22232,80,10
22233,57,7
22234,19,3
22235,19,5
22236,98,20
22237,73,15
22238,72,10
22239,69,15
22240,59,12
22241,80,17
22242,55,11
22243,27,6
22244,17,6
22245,69,14
22246,52,13
22247,94,23
22248,20,6
22249,14,5
22250,14,3
22251,69,22
22252,60,10
22253,46,14
22254,19,4
22255,56,13
22256,100,20
22257,45,8
22258,42,8
22259,82,20
22260,67,16
22261,45,9
22262,95,19
22263,15,4
22264,19,4
22265,98,16
22266,19,2
22267,17,4
22268,87,16
22269,40,7
22270,56,13
22271,74,16
22272,24,6
22273,90,17
22274,100,24
22275,22,2
22276,57,6
22277,22,6
22278,54,9
22279,21,4
22280,84,14
22281,75,16
22282,50,8
22283,69,14
22284,54,8
22285,20,3
22286,36,10
22287,28,6
22288,99,26
22289,27,2
22290,90,10
22291,41,6
22292,43,10
22293,63,1
22294,27,6
22295,84,21
22296,42,10
22297,95,24
22298,93,21
22299,88,17
22300,92,17
22301,95,26
22302,22,5
22303,90,21
22304,56,9
22305,72,15
22306,72,19
22307,26,2
22308,72,19
22309,71,15
22310,44,7
22311,23,2
22312,75,16
22313,57,12
22314,95,21
22315,61,12
22316,54,15
22317,43,7
22318,59,11
22319,91,20
22320,53,13
22321,19,5
22322,51,14
22323,66,22
22324,76,14
22325,67,13
22326,55,12
22327,10,2
22328,55,9
22329,73,11
22330,75,13
22331,100,23
22332,72,17
22333,58,9
22334,43,7
22335,92,13
22336,94,9
22337,38,7
22338,80,14
22339,68,15
22340,47,13
22341,42,8
22342,10,5
22343,29,7
22344,12,3
22345,57,14
22346,66,10
22347,78,12
22348,11,2
22349,88,14
22350,25,6
22351,69,10
22352,49,7
22353,16,7
22354,68,11
22355,15,5
22356,38,8
22357,25,4
22358,76,21
22359,85,18
22360,77,12
22361,68,11
22362,35,5
22363,74,17
22364,84,21
22365,57,15
22366,87,22
22367,79,15
22368,23,5
22369,10,3
22370,67,13
22371,64,8
22372,20,7
22373,69,15
22374,76,14
22375,44,9
22376,84,9
22377,74,21
22378,21,7
22379,39,9
22380,79,20
22381,42,9
22382,81,23
22383,66,14
22384,74,15
22385,54,10
22386,44,12
22387,99,22
22388,34,6
22389,58,16
22390,95,21
22391,74,15
22392,10,2
22393,69,9
22394,65,12
22395,63,13
22396,20,5
22397,38,10
22398,48,7
22399,12,0
22400,72,15
22401,16,1
22402,11,4
22403,15,2
22404,57,6
22405,43,6
22406,72,11
22407,14,3
22408,83,19
22409,73,17
22410,84,20
22411,90,15
22412,97,24
22413,23,2
22414,52,8
22415,45,12
22416,56,8
22417,55,6
22418,43,13
22419,52,12
22420,31,9
22421,68,18
22422,95,20
22423,34,5
22424,47,7
22425,79,19
22426,84,17
22427,80,13
22428,13,1
22429,15,4
22430,34,9
22431,93,20
22432,64,11
22433,29,4
22434,59,9
22435,75,14
22436,12,2
22437,68,8
22438,27,1
22439,22,2
22440,29,6
22441,55,15
22442,12,4
22443,37,7
22444,98,16
22445,30,3
22446,43,9
22447,97,21
22448,40,8
22449,97,18
22450,39,11
22451,51,13
22452,53,7
22453,17,5
22454,76,13
22455,88,22
22456,93,22
22457,84,17
22458,42,9
22459,53,11
22460,48,8
22461,85,13
22462,96,20
22463,43,7
22464,29,5
22465,28,4
22466,90,19
22467,68,11
22468,42,9
22469,33,5
22470,74,20
22471,80,14
22472,65,12
22473,62,7
22474,40,5
22475,25,6
22476,50,9
22477,50,11
22478,41,11
22479,32,6
22480,39,2
22481,35,11
22482,35,3
22483,64,15
22484,70,14
22485,63,10
22486,51,10
22487,51,9
22488,18,2
22489,38,7
22490,98,24
22491,40,10
22492,63,12
22493,57,5
22494,29,5
22495,12,0
22496,95,21
22497,48,5
22498,28,5
22499,77,11
22500,56,10
22501,32,10
22502,61,11
22503,63,13
22504,85,17
22505,28,2
22506,15,3
22507,84,21
22508,15,3
22509,34,10
22510,92,18
22511,10,2
22512,88,14
22513,97,19
22514,99,12
22515,35,11
22516,24,4
22517,82,18
22518,86,15
22519,12,3
22520,51,10
22521,17,2
22522,92,13
22523,65,10
22524,11,5
22525,10,0
22526,82,11
22527,65,12
22528,49,10
22529,87,20
22530,85,17
22531,100,15
22532,49,12
22533,100,15
22534,38,9
22535,59,16
22536,74,18
22537,48,9
22538,78,18
22539,66,13
22540,65,13
22541,37,8
22542,72,20
22543,31,4
22544,88,17
22545,98,25
22546,66,12
22547,15,2
22548,40,6
22549,10,0
22550,29,5
22551,54,10
22552,46,10
22553,71,14
22554,55,9
22555,99,20
22556,25,5
22557,61,9
22558,64,19
22559,42,8
22560,12,2
22561,80,17
22562,53,8
22563,88,14
22564,18,3
22565,24,2
22566,44,8
22567,23,4
22568,31,5
22569,88,14
22570,70,12
22571,54,11
22572,13,2
22573,99,20
22574,93,20
22575,28,5
22576,42,8
22577,37,7
22578,62,9
22579,97,15
22580,64,12
22581,43,9
22582,81,12
22583,31,7
22584,93,16
22585,88,8
22586,80,17
22587,44,10
22588,66,14
22589,56,11
22590,58,12
22591,89,20
22592,88,22
22593,27,5
22594,56,12
22595,12,4
22596,62,8
22597,94,21
22598,62,10
22599,94,14
22600,87,16
22601,47,13
22602,86,19
22603,31,7
22604,72,16
22605,88,19
22606,77,13
22607,80,14
22608,17,6
22609,65,13
22610,100,22
22611,51,14
22612,88,18
22613,57,9
22614,23,2
22615,24,7
22616,79,21
22617,34,6
22618,75,16
22619,21,4
22620,66,11
22621,37,5
22622,40,15
22623,41,8
22624,41,10
22625,96,21
22626,88,11
22627,17,5
22628,20,5
22629,97,17
22630,92,20
22631,78,12
22632,52,11
22633,43,10
22634,62,17
22635,66,15
22636,86,16
22637,86,14
22638,11,2
22639,37,10
22640,29,5
22641,76,10
22642,77,14
22643,29,7
22644,54,12
22645,99,22
22646,48,6
22647,100,26
22648,34,11
22649,94,15
22650,62,13
22651,88,17
22652,93,21
22653,88,23
22654,18,0
22655,71,13
22656,57,7
22657,90,16
22658,43,11
22659,87,15
22660,46,14
22661,39,10
22662,81,17
22663,47,17
22664,54,9
22665,24,6
22666,98,15
22667,70,11
22668,76,17
22669,66,9
22670,24,4
22671,96,13
22672,82,17
22673,28,8
22674,61,15
22675,80,23
22676,71,9
22677,75,17
22678,97,23
22679,26,6
22680,27,5
22681,68,19
22682,50,7
22683,84,15
22684,87,22
22685,13,2
22686,23,4
22687,77,14
22688,13,1
22689,69,11
22690,28,6
22691,74,11
22692,14,1
22693,98,22
22694,34,5
22695,18,4
22696,98,22
22697,40,8
22698,48,8
22699,75,17
22700,30,4
22701,65,10
22702,99,26
22703,46,7
22704,99,21
22705,93,19
22706,56,9
22707,39,4
22708,87,18
22709,40,4
22710,32,8
22711,47,10
22712,43,8
22713,37,11
22714,58,12
22715,70,14
22716,64,7
22717,96,21
22718,11,2
22719,13,3
22720,87,14
22721,65,11
22722,10,3
22723,51,11
22724,63,10
22725,51,10
22726,37,6
22727,77,13
22728,24,8
22729,24,4
22730,26,8
22731,66,9
22732,47,9
22733,86,12
22734,48,14
22735,95,18
22736,43,8
22737,34,9
22738,58,10
22739,78,10
22740,36,9
22741,56,8
22742,47,16
22743,20,4
22744,94,21
22745,54,7
22746,24,3
22747,39,7
22748,67,11
22749,60,12
22750,25,4
22751,19,2
22752,11,4
22753,81,17
22754,13,3
22755,62,12
22756,45,5
22757,73,15
22758,50,10
22759,62,11
22760,89,19
22761,42,10
22762,76,12
22763,47,7
22764,57,13
22765,74,15
22766,46,3
22767,56,10
22768,99,20
22769,70,8
22770,19,2
22771,66,14
22772,45,5
22773,59,14
22774,23,4
22775,87,24
22776,79,19
22777,91,23
22778,77,18
22779,18,8
22780,92,22
22781,45,10
22782,15,2
22783,82,11
22784,65,13
22785,22,3
22786,87,18
22787,66,14
22788,16,3
22789,50,11
22790,20,4
22791,62,12
22792,98,19
22793,46,10
22794,68,10
22795,20,5
22796,94,17
22797,59,15
22798,69,11
22799,83,14
22800,76,9
22801,29,3
22802,50,12
22803,69,19
22804,23,2
22805,89,15
22806,88,17
22807,14,3
22808,49,10
22809,53,7
22810,97,24
22811,83,19
22812,88,17
22813,73,19
22814,94,20
22815,88,21
22816,99,18
22817,69,23
22818,91,16
22819,53,7
22820,26,9
22821,65,9
22822,81,18
22823,21,3
22824,84,16
22825,58,14
22826,95,16
22827,66,12
22828,81,21
22829,57,15
22830,52,10
22831,62,10
22832,24,2
22833,63,14
22834,61,11
22835,98,20
22836,90,21
22837,72,22
22838,67,12
22839,25,7
22840,78,13
22841,54,13
22842,36,3
22843,23,3
22844,43,5
22845,88,19
22846,72,18
22847,58,13
22848,94,27
22849,72,6
22850,20,1
22851,53,14
22852,100,17
22853,32,6
22854,82,20
22855,17,5
22856,39,4
22857,66,14
22858,16,2
22859,34,10
22860,97,21
22861,48,8
22862,62,13
22863,15,4
22864,19,1
22865,23,0
22866,10,2
22867,95,17
22868,39,8
22869,93,20
22870,31,7
22871,50,9
22872,39,8
22873,43,10
22874,80,12
22875,33,8
22876,97,19
22877,36,9
22878,28,7
22879,66,20
22880,63,12
22881,32,6
22882,73,14
22883,91,20
22884,19,1
22885,80,20
22886,28,6
22887,40,6
22888,19,5
22889,43,13
22890,17,0
22891,99,22
22892,85,15
22893,96,23
22894,12,4
22895,79,19
22896,31,7
22897,95,15
22898,61,11
22899,83,13
22900,51,11
22901,79,13
22902,46,11
22903,40,4
22904,13,3
22905,34,6
22906,78,14
22907,52,12
22908,53,11
22909,27,6
22910,35,6
22911,23,8
22912,98,19
22913,90,18
22914,90,17
22915,95,24
22916,21,5
22917,83,20
22918,70,12
22919,61,6
22920,61,11
22921,38,6
22922,44,8
22923,76,14
22924,80,14
22925,48,9
22926,75,18
22927,31,3
22928,79,12
22929,98,17
22930,75,16
22931,68,7
22932,59,13
22933,62,13
22934,16,3
22935,65,12
22936,57,6
22937,53,8
22938,89,23
22939,30,3
22940,69,11
22941,98,24
22942,75,11
22943,44,12
22944,35,7
22945,57,17
22946,39,8
22947,39,6
22948,56,15
22949,52,9
22950,12,3
22951,70,16
22952,79,20
22953,23,5
22954,66,14
22955,18,6
22956,18,5
22957,81,14
22958,76,18
22959,45,11
22960,70,9
22961,99,22
22962,55,11
22963,72,18
22964,88,18
22965,50,10
22966,13,4
22967,47,10
22968,98,18
22969,40,12
22970,94,21
22971,60,12
22972,29,8
22973,71,15
22974,31,7
22975,25,6
22976,51,13
22977,68,13
22978,83,17
22979,53,8
22980,32,5
22981,97,20
